edition,year,venue,round,team 1,team 2,score,score_halftime
2000-BELGIUM/NETHERLANDS,1998,Burgas,QUALIFYING,Bulgaria (България),Poland (Polska),0-3,0-2
2000-BELGIUM/NETHERLANDS,1998,Oslo,QUALIFYING,Norway (Norge),Latvia (Latvija),1-3,1-1
2000-BELGIUM/NETHERLANDS,1998,Athína,QUALIFYING,Greece (Ελλάδα),Slovenia (Slovenija),2-2,0-1
2000-BELGIUM/NETHERLANDS,1998,Vilnius,QUALIFYING,Lithuania (Lietuva),Scotland,0-0,0-0
2000-BELGIUM/NETHERLANDS,1998,Sarajevo,QUALIFYING,Bosnia-Herzegovina (Bosna i Hercegovina),Estonia (Eesti),1-1,0-1
2000-BELGIUM/NETHERLANDS,2000,Amsterdam,FS_1/2_FINAL,Italy (Italia),Netherlands (Nederland),0-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Zürich,QUALIFYING,Switzerland (Schweiz / Suisse),Wales (Cymru),2-0,1-0
2000-BELGIUM/NETHERLANDS,2000,Rotterdam,FS_GROUP_STAGE,Spain (España),Norway (Norge),0-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Lisboa,QUALIFYING,Portugal,Hungary (Magyarország),3-0,2-0
2000-BELGIUM/NETHERLANDS,1999,København,ADD._QUALIFYING,Denmark (Danmark),Israel (ישראל),3-0,2-0
2000-BELGIUM/NETHERLANDS,1999,Kyïv,ADD._QUALIFYING,Ukraine (Україна),Slovenia (Slovenija),1-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Bursa,ADD._QUALIFYING,Turkey (Türkiye),Ireland (Éire),0-0,0-0
2000-BELGIUM/NETHERLANDS,2000,Bruxelles,FS_GROUP_STAGE,Belgium (België),Sweden (Sverige),2-1,1-0
2000-BELGIUM/NETHERLANDS,2000,Arnhem,FS_GROUP_STAGE,Turkey (Türkiye),Italy (Italia),1-2,0-0
2000-BELGIUM/NETHERLANDS,2000,Brugge,FS_GROUP_STAGE,France,Denmark (Danmark),3-0,1-0
2000-BELGIUM/NETHERLANDS,1999,Thessaloníkê,QUALIFYING,Yugoslavia (Југославија),Malta,4-1,1-1
2000-BELGIUM/NETHERLANDS,1999,Lausanne,QUALIFYING,Switzerland (Schweiz / Suisse),Italy (Italia),0-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Liverpool,QUALIFYING,Wales (Cymru),Denmark (Danmark),0-2,0-0
2000-BELGIUM/NETHERLANDS,1999,Tiranë,QUALIFYING,Albania (Shqipëri),Slovenia (Slovenija),0-1,0-1
2000-BELGIUM/NETHERLANDS,1999,Athína,QUALIFYING,Greece (Ελλάδα),Latvia (Latvija),1-2,1-1
2000-BELGIUM/NETHERLANDS,1999,Chişinău,QUALIFYING,Moldova,Finland (Suomi),0-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Barcelona,QUALIFYING,Andorra,France,0-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Moskva,QUALIFYING,Russia (Россия),Iceland (Ísland),1-0,1-0
2000-BELGIUM/NETHERLANDS,1999,Erevan,QUALIFYING,Armenia (Հայաստան),Ukraine (Україна),0-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Poland (Polska),2-3,0-2
2000-BELGIUM/NETHERLANDS,1999,Sofija,QUALIFYING,Bulgaria (България),England,1-1,1-1
2000-BELGIUM/NETHERLANDS,1999,Győr,QUALIFYING,Hungary (Magyarország),Slovakia (Slovensko),0-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Coimbra,QUALIFYING,Portugal,Liechtenstein,8-0,3-0
2000-BELGIUM/NETHERLANDS,1999,Bucureşti,QUALIFYING,Romania (România),Azerbaijan (Azərbaycan),4-0,2-0
2000-BELGIUM/NETHERLANDS,1999,Dublin,QUALIFYING,Ireland (Éire),Macedonia (Македонија),1-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Tallinn,QUALIFYING,Estonia (Eesti),Lithuania (Lietuva),1-2,1-0
2000-BELGIUM/NETHERLANDS,1999,Toftír,QUALIFYING,Faroe Islands (Føroyar),Bosnia-Herzegovina (Bosna i Hercegovina),2-2,1-1
2000-BELGIUM/NETHERLANDS,1999,Praha,QUALIFYING,Czech Republic (Česká Republika),Scotland,3-2,0-1
2000-BELGIUM/NETHERLANDS,1999,Ljubljana,QUALIFYING,Slovenia (Slovenija),Albania (Shqipëri),2-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Beograd,QUALIFYING,Yugoslavia (Југославија),Croatia (Hrvatska),0-0,0-0
2000-BELGIUM/NETHERLANDS,1998,Beograd,QUALIFYING,Yugoslavia (Југославија),Ireland (Éire),1-0,0-0
2000-BELGIUM/NETHERLANDS,1998,TaQali,QUALIFYING,Malta,Macedonia (Македонија),1-2,0-0
2000-BELGIUM/NETHERLANDS,1998,Belfast,QUALIFYING,Northern Ireland (Ulster),Moldova,2-2,0-1
2000-BELGIUM/NETHERLANDS,1999,London,ADD._QUALIFYING,England,Scotland,0-1,0-1
2000-BELGIUM/NETHERLANDS,1999,Dublin,ADD._QUALIFYING,Ireland (Éire),Turkey (Türkiye),1-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Ljubljana,ADD._QUALIFYING,Slovenia (Slovenija),Ukraine (Україна),2-1,0-1
2000-BELGIUM/NETHERLANDS,1999,Tel Avīv,ADD._QUALIFYING,Israel (ישראל),Denmark (Danmark),0-5,0-2
2000-BELGIUM/NETHERLANDS,1999,Zagreb,QUALIFYING,Croatia (Hrvatska),Yugoslavia (Југославија),2-2,2-1
2000-BELGIUM/NETHERLANDS,1999,Skopje,QUALIFYING,Macedonia (Македонија),Ireland (Éire),1-1,0-1
2000-BELGIUM/NETHERLANDS,1999,Tallinn,QUALIFYING,Estonia (Eesti),Bosnia-Herzegovina (Bosna i Hercegovina),1-4,1-1
2000-BELGIUM/NETHERLANDS,1999,Praha,QUALIFYING,Czech Republic (Česká Republika),Faroe Islands (Føroyar),2-0,1-0
2000-BELGIUM/NETHERLANDS,1999,Glasgow,QUALIFYING,Scotland,Lithuania (Lietuva),3-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Sofija,QUALIFYING,Bulgaria (България),Luxembourg (Lëtzebuerg),3-0,1-0
2000-BELGIUM/NETHERLANDS,1999,Wien,QUALIFYING,Austria (Österreich),Cyprus (Κύπρος),3-1,2-0
2000-BELGIUM/NETHERLANDS,2000,Eindhoven,FS_GROUP_STAGE,Portugal,England,3-2,2-2
2000-BELGIUM/NETHERLANDS,1999,Wien,QUALIFYING,Austria (Österreich),Spain (España),1-3,0-1
2000-BELGIUM/NETHERLANDS,1999,London,QUALIFYING,England,Luxembourg (Lëtzebuerg),6-0,5-0
2000-BELGIUM/NETHERLANDS,1999,Stockholm,QUALIFYING,Sweden (Sverige),Bulgaria (България),1-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Moskva,QUALIFYING,Russia (Россия),Armenia (Հայաստան),2-0,1-0
2000-BELGIUM/NETHERLANDS,1999,Reykjavík,QUALIFYING,Iceland (Ísland),Andorra,3-0,2-0
2000-BELGIUM/NETHERLANDS,1999,Kyïv,QUALIFYING,Ukraine (Україна),France,0-0,0-0
2000-BELGIUM/NETHERLANDS,1998,Reykjavík,QUALIFYING,Iceland (Ísland),France,1-1,1-1
2000-BELGIUM/NETHERLANDS,1999,Belfast,QUALIFYING,Northern Ireland (Ulster),Turkey (Türkiye),0-3,0-1
2000-BELGIUM/NETHERLANDS,1999,Ljubljana,QUALIFYING,Slovenia (Slovenija),Georgia (საქართველო),2-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Tiranë,QUALIFYING,Albania (Shqipëri),Latvia (Latvija),3-3,1-1
2000-BELGIUM/NETHERLANDS,1999,Oslo,QUALIFYING,Norway (Norge),Greece (Ελλάδα),1-0,1-0
2000-BELGIUM/NETHERLANDS,1999,København,QUALIFYING,Denmark (Danmark),Switzerland (Schweiz / Suisse),2-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Minsk,QUALIFYING,Belarus (Беларусь),Wales (Cymru),1-2,1-1
2000-BELGIUM/NETHERLANDS,1999,Dublin,QUALIFYING,Ireland (Éire),Yugoslavia (Југославија),2-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Zagreb,QUALIFYING,Croatia (Hrvatska),Malta,2-1,1-0
2000-BELGIUM/NETHERLANDS,1999,Bratislava,QUALIFYING,Slovakia (Slovensko),Romania (România),1-5,1-2
2000-BELGIUM/NETHERLANDS,1999,Baku,QUALIFYING,Azerbaijan (Azərbaycan),Portugal,1-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Vaduz,QUALIFYING,Liechtenstein,Hungary (Magyarország),0-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Zagreb,QUALIFYING,Croatia (Hrvatska),Ireland (Éire),1-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Sarajevo,QUALIFYING,Bosnia-Herzegovina (Bosna i Hercegovina),Scotland,1-2,1-2
2000-BELGIUM/NETHERLANDS,1999,Albacete,QUALIFYING,Spain (España),Israel (ישראל),3-0,2-0
2000-BELGIUM/NETHERLANDS,1999,Glasgow,ADD._QUALIFYING,Scotland,England,0-2,0-2
2000-BELGIUM/NETHERLANDS,1999,Helsinki,QUALIFYING,Finland (Suomi),Germany (Deutschland),1-2,0-2
2000-BELGIUM/NETHERLANDS,1998,Kyïv,QUALIFYING,Ukraine (Україна),Russia (Россия),3-2,2-0
2000-BELGIUM/NETHERLANDS,1998,Serravalle,QUALIFYING,San Marino,Cyprus (Κύπρος),0-1,0-0
2000-BELGIUM/NETHERLANDS,1998,İstanbul,QUALIFYING,Turkey (Türkiye),Northern Ireland (Ulster),3-0,1-0
2000-BELGIUM/NETHERLANDS,1998,Erevan,QUALIFYING,Armenia (Հայաստան),Andorra,3-1,1-0
2000-BELGIUM/NETHERLANDS,1999,Rīga,QUALIFYING,Latvia (Latvija),Norway (Norge),1-2,0-0
2000-BELGIUM/NETHERLANDS,1999,Maribor,QUALIFYING,Slovenia (Slovenija),Greece (Ελλάδα),0-3,0-2
2000-BELGIUM/NETHERLANDS,1999,Tiranë,QUALIFYING,Albania (Shqipëri),Georgia (საქართველო),2-1,2-0
2000-BELGIUM/NETHERLANDS,1999,Minsk,QUALIFYING,Belarus (Беларусь),Italy (Italia),0-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Wrexham,QUALIFYING,Wales (Cymru),Switzerland (Schweiz / Suisse),0-2,0-1
2000-BELGIUM/NETHERLANDS,1999,Athína,QUALIFYING,Greece (Ελλάδα),Albania (Shqipëri),2-0,1-0
2000-BELGIUM/NETHERLANDS,1999,Glasgow,QUALIFYING,Scotland,Bosnia-Herzegovina (Bosna i Hercegovina),1-0,1-0
2000-BELGIUM/NETHERLANDS,1999,Tallinn,QUALIFYING,Estonia (Eesti),Scotland,0-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Tórshavn,QUALIFYING,Faroe Islands (Føroyar),Lithuania (Lietuva),0-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Teplice,QUALIFYING,Czech Republic (Česká Republika),Bosnia-Herzegovina (Bosna i Hercegovina),3-0,1-0
2000-BELGIUM/NETHERLANDS,1999,Skopje,QUALIFYING,Macedonia (Македонија),Yugoslavia (Југославија),2-4,0-4
2000-BELGIUM/NETHERLANDS,1999,TaQali,QUALIFYING,Malta,Ireland (Éire),2-3,0-2
2000-BELGIUM/NETHERLANDS,1999,Tiranë,QUALIFYING,Albania (Shqipëri),Norway (Norge),1-2,1-1
2000-BELGIUM/NETHERLANDS,1999,Helsinki,QUALIFYING,Finland (Suomi),Northern Ireland (Ulster),4-1,1-0
2000-BELGIUM/NETHERLANDS,1999,Tbilisi,QUALIFYING,Georgia (საქართველო),Greece (Ελλάδα),1-2,0-0
2000-BELGIUM/NETHERLANDS,1999,Helsinki,QUALIFYING,Finland (Suomi),Turkey (Türkiye),2-4,2-2
2000-BELGIUM/NETHERLANDS,1999,Kyïv,QUALIFYING,Ukraine (Україна),Andorra,4-0,2-0
2000-BELGIUM/NETHERLANDS,1999,Paris,QUALIFYING,France,Russia (Россия),2-3,0-1
2000-BELGIUM/NETHERLANDS,1999,Reykjavík,QUALIFYING,Iceland (Ísland),Armenia (Հայաստան),2-0,1-0
2000-BELGIUM/NETHERLANDS,1999,London,QUALIFYING,England,Sweden (Sverige),0-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Villarreal,QUALIFYING,Spain (España),San Marino,9-0,4-0
2000-BELGIUM/NETHERLANDS,1999,Lisboa,QUALIFYING,Portugal,Slovakia (Slovensko),1-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Bucureşti,QUALIFYING,Romania (România),Hungary (Magyarország),2-0,2-0
2000-BELGIUM/NETHERLANDS,1999,Baku,QUALIFYING,Azerbaijan (Azərbaycan),Liechtenstein,4-0,2-0
2000-BELGIUM/NETHERLANDS,1999,Skopje,QUALIFYING,Macedonia (Македонија),Croatia (Hrvatska),1-1,0-1
2000-BELGIUM/NETHERLANDS,1999,Sarajevo,QUALIFYING,Bosnia-Herzegovina (Bosna i Hercegovina),Lithuania (Lietuva),2-0,1-0
2000-BELGIUM/NETHERLANDS,1999,Tallinn,QUALIFYING,Estonia (Eesti),Czech Republic (Česká Republika),0-2,0-1
2000-BELGIUM/NETHERLANDS,1999,Toftír,QUALIFYING,Faroe Islands (Føroyar),Scotland,1-1,0-1
2000-BELGIUM/NETHERLANDS,1999,Tel Avīv,QUALIFYING,Israel (ישראל),Austria (Österreich),5-0,2-0
2000-BELGIUM/NETHERLANDS,1999,Rīga,QUALIFYING,Latvia (Latvija),Slovenia (Slovenija),1-2,1-2
2000-BELGIUM/NETHERLANDS,1999,Paris,QUALIFYING,France,Iceland (Ísland),3-2,2-0
2000-BELGIUM/NETHERLANDS,1999,München,QUALIFYING,Germany (Deutschland),Turkey (Türkiye),0-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Andorra la Vella,QUALIFYING,Andorra,Armenia (Հայաստան),0-3,0-1
2000-BELGIUM/NETHERLANDS,1998,Helsinki,QUALIFYING,Finland (Suomi),Moldova,3-2,2-2
2000-BELGIUM/NETHERLANDS,1998,Tbilisi,QUALIFYING,Georgia (საქართველო),Albania (Shqipëri),1-0,0-0
2000-BELGIUM/NETHERLANDS,1998,Minsk,QUALIFYING,Belarus (Беларусь),Denmark (Danmark),0-0,0-0
2000-BELGIUM/NETHERLANDS,1998,Liverpool,QUALIFYING,Wales (Cymru),Italy (Italia),0-2,0-1
2000-BELGIUM/NETHERLANDS,1998,Bucureşti,QUALIFYING,Romania (România),Liechtenstein,7-0,4-0
2000-BELGIUM/NETHERLANDS,1998,Sarajevo,QUALIFYING,Bosnia-Herzegovina (Bosna i Hercegovina),Faroe Islands (Føroyar),1-0,0-0
2000-BELGIUM/NETHERLANDS,1998,Tallinn,QUALIFYING,Estonia (Eesti),Faroe Islands (Føroyar),5-0,2-0
2000-BELGIUM/NETHERLANDS,1998,Tiranë,QUALIFYING,Albania (Shqipëri),Greece (Ελλάδα),0-0,0-0
2000-BELGIUM/NETHERLANDS,1998,Teplice,QUALIFYING,Czech Republic (Česká Republika),Estonia (Eesti),4-1,4-0
2000-BELGIUM/NETHERLANDS,1998,Aberdeen,QUALIFYING,Scotland,Faroe Islands (Føroyar),2-1,2-0
2000-BELGIUM/NETHERLANDS,1998,Vilnius,QUALIFYING,Lithuania (Lietuva),Bosnia-Herzegovina (Bosna i Hercegovina),4-2,1-1
2000-BELGIUM/NETHERLANDS,1999,Moskva,QUALIFYING,Russia (Россия),Ukraine (Україна),1-1,0-0
2000-BELGIUM/NETHERLANDS,1998,Dublin,QUALIFYING,Ireland (Éire),Malta,5-0,2-0
2000-BELGIUM/NETHERLANDS,1998,Vaduz,QUALIFYING,Liechtenstein,Azerbaijan (Azərbaycan),2-1,0-0
2000-BELGIUM/NETHERLANDS,1998,Zagreb,QUALIFYING,Croatia (Hrvatska),Macedonia (Македонија),3-2,2-1
2000-BELGIUM/NETHERLANDS,1998,Budapest,QUALIFYING,Hungary (Magyarország),Romania (România),1-1,0-0
2000-BELGIUM/NETHERLANDS,1999,Stockholm,QUALIFYING,Sweden (Sverige),Poland (Polska),2-0,0-0
2000-BELGIUM/NETHERLANDS,1999,Vaduz,QUALIFYING,Liechtenstein,Romania (România),0-3,0-1
2000-BELGIUM/NETHERLANDS,1999,Baku,QUALIFYING,Azerbaijan (Azərbaycan),Slovakia (Slovensko),0-1,0-0
2000-BELGIUM/NETHERLANDS,1998,Bratislava,QUALIFYING,Slovakia (Slovensko),Portugal,0-3,0-2
2000-BELGIUM/NETHERLANDS,1999,Bologna,QUALIFYING,Italy (Italia),Wales (Cymru),4-0,3-0
2000-BELGIUM/NETHERLANDS,1999,Warszawa,QUALIFYING,Poland (Polska),Bulgaria (България),2-0,1-0
2000-BELGIUM/NETHERLANDS,1999,København,QUALIFYING,Denmark (Danmark),Belarus (Беларусь),1-0,1-0
2000-BELGIUM/NETHERLANDS,1998,Paris,QUALIFYING,France,Andorra,2-0,0-0
2000-BELGIUM/NETHERLANDS,1998,Reykjavík,QUALIFYING,Iceland (Ísland),Russia (Россия),1-0,0-0
2000-BELGIUM/NETHERLANDS,1998,Burgas,QUALIFYING,Bulgaria (България),Sweden (Sverige),0-1,0-0
2000-BELGIUM/NETHERLANDS,1998,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),England,0-3,0-2
2000-BELGIUM/NETHERLANDS,1998,Serravalle,QUALIFYING,San Marino,Austria (Österreich),1-4,0-0
2000-BELGIUM/NETHERLANDS,1998,Tel Avīv,QUALIFYING,Israel (ישראל),Spain (España),1-2,0-0
2000-BELGIUM/NETHERLANDS,1998,Kyïv,QUALIFYING,Ukraine (Україна),Armenia (Հայաստան),2-0,1-0
2004-PORTUGAL,2002,Warszawa,QUALIFYING,Poland (Polska),Latvia (Latvija),0-1,0-1
2004-PORTUGAL,2002,Kyïv,QUALIFYING,Ukraine (Україна),Greece (Ελλάδα),2-0,0-0
2004-PORTUGAL,2002,Albacete,QUALIFYING,Spain (España),Northern Ireland (Ulster),3-0,1-0
2004-PORTUGAL,2002,Reykjavík,QUALIFYING,Iceland (Ísland),Scotland,0-2,0-1
2004-PORTUGAL,2002,Kaunas,QUALIFYING,Lithuania (Lietuva),Faroe Islands (Føroyar),2-0,2-0
2004-PORTUGAL,2002,Stockholm,QUALIFYING,Sweden (Sverige),Hungary (Magyarország),1-1,0-1
2004-PORTUGAL,2002,Minsk,QUALIFYING,Belarus (Беларусь),Austria (Österreich),0-2,0-0
2004-PORTUGAL,2003,Minsk,QUALIFYING,Belarus (Беларусь),Netherlands (Nederland),0-2,0-0
2004-PORTUGAL,2002,København,QUALIFYING,Denmark (Danmark),Luxembourg (Lëtzebuerg),2-0,0-0
2004-PORTUGAL,2003,Tbilisi,QUALIFYING,Georgia (საქართველო),Switzerland (Schweiz / Suisse),0-0,0-0
2004-PORTUGAL,2003,Tiranë,QUALIFYING,Albania (Shqipëri),Ireland (Éire),0-0,0-0
2004-PORTUGAL,2003,Varaždin,QUALIFYING,Croatia (Hrvatska),Andorra,2-0,2-0
2004-PORTUGAL,2003,Tallinn,QUALIFYING,Estonia (Eesti),Bulgaria (България),0-0,0-0
2004-PORTUGAL,2003,İstanbul,QUALIFYING,Turkey (Türkiye),Macedonia (Македонија),3-2,1-2
2004-PORTUGAL,2003,Middlesbrough,QUALIFYING,England,Slovakia (Slovensko),2-1,0-1
2004-PORTUGAL,2003,Belfast,QUALIFYING,Northern Ireland (Ulster),Spain (España),0-0,0-0
2004-PORTUGAL,2003,Athína,QUALIFYING,Greece (Ελλάδα),Ukraine (Україна),1-0,0-0
2004-PORTUGAL,2003,Kaunas,QUALIFYING,Lithuania (Lietuva),Iceland (Ísland),0-3,0-0
2004-PORTUGAL,2003,Tórshavn,QUALIFYING,Faroe Islands (Føroyar),Germany (Deutschland),0-2,0-0
2004-PORTUGAL,2003,Serravalle,QUALIFYING,San Marino,Hungary (Magyarország),0-5,0-2
2004-PORTUGAL,2003,TaQali,QUALIFYING,Malta,Slovenia (Slovenija),1-3,0-2
2004-PORTUGAL,2003,Stockholm,QUALIFYING,Sweden (Sverige),Poland (Polska),3-0,2-0
2004-PORTUGAL,2003,Olomouc,QUALIFYING,Czech Republic (Česká Republika),Moldova,5-0,1-0
2004-PORTUGAL,2003,Oslo,QUALIFYING,Norway (Norge),Romania (România),1-1,0-0
2004-PORTUGAL,2003,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Denmark (Danmark),0-2,0-1
2004-PORTUGAL,2003,Dublin,QUALIFYING,Ireland (Éire),Albania (Shqipëri),2-1,1-1
2004-PORTUGAL,2003,Helsinki,QUALIFYING,Finland (Suomi),Serbia-Montenegro (Србија и Црна Гора),3-0,2-0
2004-PORTUGAL,2003,Tallinn,QUALIFYING,Estonia (Eesti),Andorra,2-0,2-0
2004-PORTUGAL,2003,Sofija,QUALIFYING,Bulgaria (България),Belgium (België),2-2,0-1
2004-PORTUGAL,2003,Skopje,QUALIFYING,Macedonia (Македонија),Liechtenstein,3-1,1-1
2004-PORTUGAL,2003,Bratislava,QUALIFYING,Slovakia (Slovensko),Turkey (Türkiye),0-1,0-1
2004-PORTUGAL,2003,Lvïv,QUALIFYING,Ukraine (Україна),Armenia (Հայաստան),4-3,1-1
2004-PORTUGAL,2003,Donetsk,QUALIFYING,Ukraine (Україна),Northern Ireland (Ulster),0-0,0-0
2004-PORTUGAL,2003,Innsbruck,QUALIFYING,Austria (Österreich),Belarus (Беларусь),5-0,1-0
2004-PORTUGAL,2003,Erevan,QUALIFYING,Armenia (Հայաստան),Greece (Ελλάδα),0-1,0-1
2004-PORTUGAL,2003,Palermo,QUALIFYING,Israel (ישראל),Cyprus (Κύπρος),2-0,0-0
2004-PORTUGAL,2003,Andorra la Vella,QUALIFYING,Andorra,Estonia (Eesti),0-2,0-1
2004-PORTUGAL,2003,Budapest,QUALIFYING,Hungary (Magyarország),Latvia (Latvija),3-1,0-1
2004-PORTUGAL,2003,Serravalle,QUALIFYING,San Marino,Sweden (Sverige),0-6,0-1
2004-PORTUGAL,2003,Glasgow,QUALIFYING,Scotland,Germany (Deutschland),1-1,0-1
2004-PORTUGAL,2003,København,QUALIFYING,Denmark (Danmark),Norway (Norge),1-0,1-0
2004-PORTUGAL,2003,Craiova,QUALIFYING,Romania (România),Bosnia-Herzegovina (Bosna i Hercegovina),2-0,0-0
2004-PORTUGAL,2003,TaQali,QUALIFYING,Malta,Cyprus (Κύπρος),1-2,0-1
2004-PORTUGAL,2003,Antalya,QUALIFYING,Israel (ישראל),Slovenia (Slovenija),0-0,0-0
2004-PORTUGAL,2003,Reykjavík,QUALIFYING,Iceland (Ísland),Faroe Islands (Føroyar),2-1,0-0
2004-PORTUGAL,2003,Zaragoza,QUALIFYING,Spain (España),Greece (Ελλάδα),0-1,0-1
2004-PORTUGAL,2003,Vaduz,QUALIFYING,Liechtenstein,Turkey (Türkiye),0-3,0-2
2004-PORTUGAL,2003,Skopje,QUALIFYING,Macedonia (Македонија),England,1-2,1-0
2004-PORTUGAL,2003,Rīga,QUALIFYING,Latvia (Latvija),San Marino,3-0,2-0
2004-PORTUGAL,2003,Sofija,QUALIFYING,Bulgaria (България),Estonia (Eesti),2-0,1-0
2004-PORTUGAL,2003,Milano,QUALIFYING,Italy (Italia),Wales (Cymru),4-0,0-0
2004-PORTUGAL,2003,Baku,QUALIFYING,Azerbaijan (Azərbaycan),Finland (Suomi),1-2,0-0
2004-PORTUGAL,2003,Dublin,QUALIFYING,Ireland (Éire),Russia (Россия),1-1,1-1
2004-PORTUGAL,2003,Tbilisi,QUALIFYING,Georgia (საქართველო),Albania (Shqipëri),3-0,3-0
2004-PORTUGAL,2003,Antalya,QUALIFYING,Israel (ישראל),Malta,2-2,1-0
2004-PORTUGAL,2003,Ljubljana,QUALIFYING,Slovenia (Slovenija),France,0-2,0-1
2004-PORTUGAL,2003,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Bosnia-Herzegovina (Bosna i Hercegovina),0-1,0-1
2004-PORTUGAL,2003,København,QUALIFYING,Denmark (Danmark),Romania (România),2-2,1-0
2004-PORTUGAL,2003,Praha,QUALIFYING,Czech Republic (Česká Republika),Netherlands (Nederland),3-1,2-0
2004-PORTUGAL,2003,Tiraspol,QUALIFYING,Moldova,Belarus (Беларусь),2-1,1-0
2004-PORTUGAL,2003,Tbilisi,QUALIFYING,Georgia (საქართველო),Russia (Россия),1-0,1-0
2004-PORTUGAL,2003,Andorra la Vella,QUALIFYING,Andorra,Croatia (Hrvatska),0-3,0-2
2004-PORTUGAL,2003,Reykjavík,QUALIFYING,Iceland (Ísland),Germany (Deutschland),0-0,0-0
2004-PORTUGAL,2003,Glasgow,QUALIFYING,Scotland,Faroe Islands (Føroyar),3-1,2-1
2004-PORTUGAL,2003,Göteborg,QUALIFYING,Sweden (Sverige),San Marino,5-0,1-0
2004-PORTUGAL,2002,Wien,QUALIFYING,Austria (Österreich),Netherlands (Nederland),0-3,0-3
2004-PORTUGAL,2002,Teplice,QUALIFYING,Czech Republic (Česká Republika),Belarus (Беларусь),2-0,2-0
2004-PORTUGAL,2002,Luxembourg,QUALIFYING,Luxembourg (Lëtzebuerg),Romania (România),0-7,0-4
2004-PORTUGAL,2002,Oslo,QUALIFYING,Norway (Norge),Bosnia-Herzegovina (Bosna i Hercegovina),2-0,2-0
2004-PORTUGAL,2002,TaQali,QUALIFYING,Malta,France,0-4,0-2
2004-PORTUGAL,2002,Tiranë,QUALIFYING,Albania (Shqipëri),Switzerland (Schweiz / Suisse),1-1,0-1
2004-PORTUGAL,2002,Napoli,QUALIFYING,Italy (Italia),Yugoslavia (Југославија),1-1,1-1
2004-PORTUGAL,2002,Helsinki,QUALIFYING,Finland (Suomi),Azerbaijan (Azərbaycan),3-0,1-0
2004-PORTUGAL,2002,Sofija,QUALIFYING,Bulgaria (България),Croatia (Hrvatska),2-0,2-0
2004-PORTUGAL,2002,Andorra la Vella,QUALIFYING,Andorra,Belgium (België),0-1,0-0
2004-PORTUGAL,2002,Bratislava,QUALIFYING,Slovakia (Slovensko),England,1-2,1-0
2004-PORTUGAL,2002,Budapest,QUALIFYING,Hungary (Magyarország),San Marino,3-0,0-0
2004-PORTUGAL,2002,Skopje,QUALIFYING,Macedonia (Македонија),Turkey (Türkiye),1-2,1-1
2004-PORTUGAL,2002,İstanbul,QUALIFYING,Turkey (Türkiye),Slovakia (Slovensko),3-0,2-0
2004-PORTUGAL,2002,Osijek,QUALIFYING,Croatia (Hrvatska),Estonia (Eesti),0-0,0-0
2004-PORTUGAL,2002,Bruxelles,QUALIFYING,Belgium (België),Bulgaria (България),0-2,0-1
2004-PORTUGAL,2002,Helsinki,QUALIFYING,Finland (Suomi),Wales (Cymru),0-2,0-1
2004-PORTUGAL,2002,Baku,QUALIFYING,Azerbaijan (Azərbaycan),Italy (Italia),0-2,0-1
2004-PORTUGAL,2002,Moskva,QUALIFYING,Russia (Россия),Ireland (Éire),4-2,2-0
2004-PORTUGAL,2002,Vaduz,QUALIFYING,Liechtenstein,Macedonia (Македонија),1-1,0-1
2004-PORTUGAL,2002,Basel,QUALIFYING,Switzerland (Schweiz / Suisse),Georgia (საქართველო),4-1,1-0
2004-PORTUGAL,2002,Paris,QUALIFYING,France,Slovenia (Slovenija),5-0,2-0
2004-PORTUGAL,2002,TaQali,QUALIFYING,Malta,Israel (ישראל),0-2,0-0
2004-PORTUGAL,2002,Bucureşti,QUALIFYING,Romania (România),Norway (Norge),0-1,0-0
2004-PORTUGAL,2003,Tiraspol,QUALIFYING,Moldova,Austria (Österreich),1-0,0-0
